,StationCode,SampleDate,CollectionTime,Replicate,CONCATENATE,Ammonia.as.N,Nitrate...Nitrite.as.N,Nitrate.as.N,Nitrite.as.N,Nitrogen..Total,Nitrogen..Total.Kjeldahl,OrthoPhosphate.as.P,Phosphorus.as.P,DWC_Month,nitrogen,OrganicP,SolarRadiation,LightFactor,LightExtinction,standardQual2k_MaxAlgaeDensity,Phi_lb,standardQual2k_BenthicChlora,revisedQual2k_MaxAlgaeDensity,Phi_lb.1,RevisedQual2k_BenthicChlora,revisedQual2k_MaxAlgaeDensity.1,Phi_lb.2,benthic_qual2kaccural
1,000CAT148,10-Aug-10,4:00:00 PM,1,000CAT148 10-Aug-10 4:00:00 PM,0.01,0.0406,0,0,0.478,0,0.0299,0.0813,8,0.478,0.0514,565.6,0.525895581,0.5,96.21905606,0.849822747,240.5476402,48.66382685,0.849822747,121.6595671,34.4040611,0.6008026,86.01015275
2,000NONPJ,1-Apr-09,12:00:00 AM,1,000NONPJ 01-Apr-09 12:00:00 AM,0,0,0.27,0,0,0,0,0,4,0.27,0,536.6,0.525895581,0.5,0,0.842980964,0,0,0.842980964,0,0,0.595965638,0
3,000NONPJ,1-Dec-05,12:00:00 AM,1,000NONPJ 01-Dec-05 12:00:00 AM,0.48,0,0,0,0,0,0,0,12,0.48,0,190,0.525895581,0.5,0,0.655284141,0,0,0.655284141,0,0,0.463268861,0
4,000NONPJ,1-Jul-05,12:00:00 AM,1,000NONPJ 01-Jul-05 12:00:00 AM,0,0,12.7,0,0,0,0,0,7,12.7,0,632.4,0.525895581,0.5,0,0.863520887,0,0,0.863520887,0,0,0.610486829,0
5,000NONPJ,1-Jul-09,12:00:00 AM,1,000NONPJ 01-Jul-09 12:00:00 AM,0,0,0,0,0,0,0.0617,0.0617,7,0,0,632.4,0.525895581,0.5,0,0.863520887,0,0,0.863520887,0,0,0.610486829,0
6,000NONPJ,1-Jul-09,12:30:00 AM,1,000NONPJ 01-Jul-09 12:30:00 AM,0,0,0.084,0,0,0,0,0,7,0.084,0,632.4,0.525895581,0.5,0,0.863520887,0,0,0.863520887,0,0,0.610486829,0
7,000NONPJ,1-Jul-09,12:45:00 AM,1,000NONPJ 01-Jul-09 12:45:00 AM,0,0,0.845,0,0,0,0,0,7,0.845,0,632.4,0.525895581,0.5,0,0.863520887,0,0,0.863520887,0,0,0.610486829,0
8,000NONPJ,1-Jun-07,12:00:00 AM,1,000NONPJ 01-Jun-07 12:00:00 AM,0,0,0,0,0,1.2,0,0,6,1.2,0,649,0.525895581,0.5,0,0.866545857,0,0,0.866545857,0,0,0.612625405,0
9,000NONPJ,1-Mar-05,12:00:00 AM,1,000NONPJ 01-Mar-05 12:00:00 AM,0.07,0,0,0,0,0,0,0,3,0.07,0,416.8,0.525895581,0.5,0,0.806578719,0,0,0.806578719,0,0,0.570230196,0
10,000NONPJ,2-Dec-09,12:00:00 AM,1,000NONPJ 02-Dec-09 12:00:00 AM,0,0,1.7,0,0,0,0,0,12,1.7,0,190,0.525895581,0.5,0,0.655284141,0,0,0.655284141,0,0,0.463268861,0
11,000NONPJ,2-Dec-09,12:15:00 AM,1,000NONPJ 02-Dec-09 12:15:00 AM,0,0,0.19,0,0,0,0,0,12,0.19,0,190,0.525895581,0.5,0,0.655284141,0,0,0.655284141,0,0,0.463268861,0
12,000NONPJ,2-Jul-09,12:00:00 AM,1,000NONPJ 02-Jul-09 12:00:00 AM,0,0,0,0,0,0,0,0.0365,7,0,0,632.4,0.525895581,0.5,0,0.863520887,0,0,0.863520887,0,0,0.610486829,0
13,000NONPJ,2-Nov-05,12:00:00 AM,1,000NONPJ 02-Nov-05 12:00:00 AM,0,0,0,0,0,1.5,0,0,11,1.5,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
14,000NONPJ,2-Sep-09,12:00:00 AM,1,000NONPJ 02-Sep-09 12:00:00 AM,0,0,9.5,0,0,0,0,0,9,9.5,0,454.8,0.525895581,0.5,0,0.819827933,0,0,0.819827933,0,0,0.579597046,0
15,000NONPJ,2-Sep-09,12:15:00 AM,1,000NONPJ 02-Sep-09 12:15:00 AM,0,0,4.1,0,0,0,0,0,9,4.1,0,454.8,0.525895581,0.5,0,0.819827933,0,0,0.819827933,0,0,0.579597046,0
16,000NONPJ,3-Aug-07,12:00:00 AM,1,000NONPJ 03-Aug-07 12:00:00 AM,0,0,0.63,0,0,0,0,0,8,0.63,0,565.6,0.525895581,0.5,0,0.849822747,0,0,0.849822747,0,0,0.6008026,0
17,000NONPJ,3-Feb-10,12:00:00 AM,1,000NONPJ 03-Feb-10 12:00:00 AM,0,0,0.43,0,0,0,0,0,2,0.43,0,297.6,0.525895581,0.5,0,0.74858404,0,0,0.74858404,0,0,0.529229465,0
18,000NONPJ,3-Jun-10,12:00:00 AM,1,000NONPJ 03-Jun-10 12:00:00 AM,0,0,1.6,0,0,0,0,0,6,1.6,0,649,0.525895581,0.5,0,0.866545857,0,0,0.866545857,0,0,0.612625405,0
19,000NONPJ,3-Jun-11,12:00:00 AM,1,000NONPJ 03-Jun-11 12:00:00 AM,0,0,0,0,0,0,0,0.132,6,0,0,649,0.525895581,0.5,0,0.866545857,0,0,0.866545857,0,0,0.612625405,0
20,000NONPJ,3-Mar-10,12:00:00 AM,1,000NONPJ 03-Mar-10 12:00:00 AM,0,0,6.2,0,0,0,0,0,3,6.2,0,416.8,0.525895581,0.5,0,0.806578719,0,0,0.806578719,0,0,0.570230196,0
21,000NONPJ,3-May-04,12:00:00 AM,1,000NONPJ 03-May-04 12:00:00 AM,0,0,0,0,0,0,0,0.09,5,0,0,617.4,0.525895581,0.5,0,0.86066707,0,0,0.86066707,0,0,0.608469255,0
22,000NONPJ,3-Nov-04,12:00:00 AM,1,000NONPJ 03-Nov-04 12:00:00 AM,0,0,0,0,0,0.7,0,0,11,0.7,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
23,000NONPJ,3-Sep-04,12:00:00 AM,1,000NONPJ 03-Sep-04 12:00:00 AM,0.33,0,0,0,0,0,0,3.15,9,0.33,0,454.8,0.525895581,0.5,0,0.819827933,0,37.09953456,0.819827933,92.74883639,26.22840694,0.579597046,65.57101734
24,000NONPJ,4-Aug-05,12:00:00 AM,1,000NONPJ 04-Aug-05 12:00:00 AM,0.56,0,0,0,0,0,0,0,8,0.56,0,565.6,0.525895581,0.5,0,0.849822747,0,0,0.849822747,0,0,0.6008026,0
25,000NONPJ,4-Aug-06,12:00:00 AM,1,000NONPJ 04-Aug-06 12:00:00 AM,0,0,0.5,0,0,0,0,0,8,0.5,0,565.6,0.525895581,0.5,0,0.849822747,0,0,0.849822747,0,0,0.6008026,0
26,000NONPJ,4-May-06,12:00:00 AM,1,000NONPJ 04-May-06 12:00:00 AM,0.46,0,0,0,0,0,0,0,5,0.46,0,617.4,0.525895581,0.5,0,0.86066707,0,0,0.86066707,0,0,0.608469255,0
27,000NONPJ,4-May-07,12:00:00 AM,1,000NONPJ 04-May-07 12:00:00 AM,0,0,14,0,0,0,0.24,0.24,5,14,0,617.4,0.525895581,0.5,133.5236556,0.86066707,333.809139,231.4707242,0.86066707,578.6768105,163.6437875,0.608469255,409.1094687
28,000NONPJ,4-May-09,12:00:00 AM,1,000NONPJ 04-May-09 12:00:00 AM,0.03075,0,0,0,0,0,0,0,5,0.03075,0,617.4,0.525895581,0.5,0,0.86066707,0,0,0.86066707,0,0,0.608469255,0
29,000NONPJ,4-Nov-05,12:00:00 AM,1,000NONPJ 04-Nov-05 12:00:00 AM,0,0,0,0,0,0,0,3.1,11,0,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
30,000NONPJ,4-Nov-09,1:00:00 AM,1,000NONPJ 04-Nov-09 1:00:00 AM,0,0,1.1,0,0,0,0,0,11,1.1,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
31,000NONPJ,4-Nov-09,12:00:00 AM,1,000NONPJ 04-Nov-09 12:00:00 AM,0,0,0.68,0,0,0,0,0,11,0.68,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
32,000NONPJ,4-Nov-09,12:15:00 AM,1,000NONPJ 04-Nov-09 12:15:00 AM,0,0,0.25,0,0,0,0,0,11,0.25,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
33,000NONPJ,4-Nov-09,12:30:00 AM,1,000NONPJ 04-Nov-09 12:30:00 AM,0,0,0.17,0,0,0,0,0,11,0.17,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
34,000NONPJ,4-Nov-09,12:45:00 AM,1,000NONPJ 04-Nov-09 12:45:00 AM,0,0,0.23,0,0,0,0,0,11,0.23,0,231,0.525895581,0.5,0,0.697989464,0,0,0.697989464,0,0,0.493460414,0
35,000NONPJ,5-Apr-07,12:00:00 AM,1,000NONPJ 05-Apr-07 12:00:00 AM,0,0,0,0,0,0,0,0.25,4,0,0,536.6,0.525895581,0.5,0,0.842980964,0,0,0.842980964,0,0,0.595965638,0
36,000NONPJ,5-Aug-05,12:00:00 AM,1,000NONPJ 05-Aug-05 12:00:00 AM,0,0,0,0,0,0,0,0.06865,8,0,0,565.6,0.525895581,0.5,0,0.849822747,0,0,0.849822747,0,0,0.6008026,0
37,000NONPJ,5-Aug-05,12:15:00 AM,1,000NONPJ 05-Aug-05 12:15:00 AM,0,0,0,0,0,0,0,0.178,8,0,0,565.6,0.525895581,0.5,0,0.849822747,0,0,0.849822747,0,0,0.6008026,0
